user,item,rate
244,51,2
6,86,3
210,40,3
224,29,3
308,1,4
38,95,5
301,98,4
290,88,4
7,32,4
10,16,4
99,4,5
251,100,4
115,20,3
138,26,5
243,15,3
293,5,3
276,54,3
162,25,4
135,23,4
42,96,5
62,21,3
59,23,5
43,14,2
90,98,5
19,4,4
5,2,3
99,79,4
13,98,4
1,61,4
72,48,4
92,77,3
224,26,3
299,14,4
151,10,5
6,14,5
303,69,5
62,65,4
279,68,4
250,7,4
14,98,3
194,54,3
268,2,2
301,56,4
307,89,5
193,96,1
292,11,5
275,98,4
219,82,1
301,79,5
181,3,2
16,64,5
222,77,4
145,15,2
187,64,5
1,33,4
276,2,4
13,56,5
18,26,4
144,89,3
200,96,5
87,40,3
197,96,5
194,66,3
268,62,3
272,12,5
296,20,5
236,71,3
83,78,2
222,97,4
5,17,4
128,15,4
239,56,4
291,80,4
60,60,5
287,1,5
65,47,2
1,20,4
290,50,5
246,94,2
72,54,3
224,77,4
45,25,4
276,57,3
109,8,3
198,58,3
157,25,3
305,71,3
301,33,4
308,55,3
62,12,4
276,40,3
308,81,5
307,94,3
269,22,1
10,7,4
6,98,5
10,100,5
276,70,4
244,17,2
189,56,5
222,26,3
56,71,4
185,23,4
207,13,3
18,86,4
8,22,5
222,49,3
200,11,5
90,25,5
263,96,4
22,80,4
15,25,3
16,55,5
234,10,3
276,64,5
295,39,4
217,2,3
189,20,5
125,80,4
42,44,3
268,21,3
262,28,3
234,81,3
236,57,5
232,52,5
102,70,3
62,68,1
85,51,2
286,99,4
224,69,4
87,82,5
94,62,3
108,100,4
90,22,4
270,25,5
216,55,5
194,23,4
161,48,1
59,92,5
58,9,4
79,50,4
235,70,5
297,57,5
270,98,5
256,86,5
221,48,5
223,11,3
292,9,4
222,53,5
24,64,5
82,56,3
56,91,4
226,56,4
16,8,5
203,93,4
145,56,5
17,13,3
148,1,4
297,89,4
303,68,4
280,1,4
6,69,3
110,38,3
222,87,3
13,72,4
194,77,3
90,12,5
311,98,5
286,73,5
239,9,5
96,87,4
297,73,2
311,9,4
151,13,3
271,65,3
207,68,2
2,50,5
57,79,5
253,97,4
62,86,2
207,58,3
109,97,3
308,59,4
8,50,5
286,44,3
62,59,4
83,97,4
63,100,5
85,25,2
42,98,4
274,50,5
184,98,4
217,27,1
286,85,5
207,65,3
210,70,4
181,14,1
297,25,4
276,78,4
1,47,4
95,68,4
6,23,4
222,22,5
76,61,4
314,28,5
16,89,2
291,15,5
239,96,5
136,89,4
234,98,4
94,24,4
312,100,4
262,64,5
83,43,4
244,53,3
43,40,3
49,68,1
44,15,4
158,24,4
188,96,5
151,12,5
279,89,4
66,1,3
5,1,4
264,70,4
210,97,5
305,79,3
207,25,4
109,1,4
77,91,3
227,50,4
295,72,4
181,1,3
279,96,4
177,69,1
213,13,4
271,56,3
59,77,4
222,88,4
121,14,5
117,15,5
239,81,3
59,54,4
85,13,3
313,22,3
43,5,4
11,38,3
70,82,4
5,98,3
308,95,4
65,100,3
184,86,5
72,28,4
115,8,5
95,1,5
151,58,4
145,22,5
71,89,5
182,69,5
28,79,4
83,82,5
161,98,4
66,7,3
85,83,4
267,17,4
201,51,2
197,55,3
316,98,5
25,25,5
103,24,4
87,9,4
49,47,5
44,95,4
135,39,3
13,66,3
269,13,4
313,99,4
142,82,4
303,94,3
99,50,5
306,14,5
16,56,5
13,59,4
291,7,5
312,28,4
291,70,4
180,68,5
184,36,3
305,11,1
73,94,1
198,7,4
73,56,4
104,7,3
293,39,3
256,25,5
275,69,3
239,58,5
92,15,3
79,100,5
1,17,3
214,42,5
7,81,5
82,14,4
305,50,5
223,8,2
92,81,3
201,69,2
94,58,5
91,28,4
235,87,4
174,80,1
315,13,4
269,9,4
293,79,3
246,68,5
249,88,4
279,79,3
217,7,4
49,7,4
311,83,5
58,100,5
160,56,5
87,2,4
268,1,3
262,47,2
84,12,5
264,33,3
224,20,1
200,24,2
158,72,3
92,24,3
276,38,3
286,34,5
1,90,4
49,38,1
311,5,3
151,89,5
269,47,4
198,100,1
194,4,4
177,56,5
57,28,4
268,94,2
270,97,4
21,98,5
314,95,5
108,50,4
207,4,4
313,96,5
270,83,4
201,79,4
216,69,5
28,95,3
181,16,1
97,89,5
207,87,4
94,9,5
234,20,4
67,64,5
68,7,3
13,14,4
232,91,5
98,47,4
53,24,3
239,10,5
63,20,3
148,70,5
184,71,4
276,43,1
244,89,5
272,48,4
116,7,2
52,95,4
26,25,3
246,82,2
62,24,4
268,63,1
295,47,5
194,82,2
290,82,4
262,96,4
305,61,4
42,69,4
63,50,4
269,82,2
5,62,4
303,65,4
295,73,4
184,100,5
1,64,5
49,17,2
175,96,3
310,24,4
43,52,4
303,87,3
94,89,3
7,44,5
158,85,4
221,69,4
196,67,5
175,71,4
326,22,4
270,53,4
268,52,3
59,70,3
213,12,5
131,100,5
222,29,3
22,79,4
249,11,5
217,22,5
178,73,5
56,69,4
37,55,3
233,99,3
97,98,4
189,1,5
234,50,4
296,48,5
81,3,4
151,15,4
59,12,5
298,91,2
246,8,3
276,34,2
97,50,5
13,97,4
244,7,4
28,98,5
298,8,5
7,28,5
115,92,4
41,28,4
117,50,5
262,11,4
109,31,4
208,88,5
279,65,1
43,64,5
70,50,4
279,42,4
210,58,4
43,66,4
293,36,1
60,47,4
92,79,4
287,11,5
49,49,2
311,28,5
76,92,4
5,24,4
286,7,4
64,93,2
287,56,5
150,100,2
93,15,5
318,50,2
18,58,4
307,100,3
311,68,1
145,13,5
145,1,3
109,100,4
7,78,3
82,73,4
145,50,5
234,71,3
213,48,5
124,50,3
291,54,4
253,50,4
280,38,3
268,83,4
69,12,5
276,85,3
313,71,4
224,43,3
85,98,4
123,13,3
292,86,4
30,82,4
271,11,4
268,42,4
124,11,5
28,7,5
7,93,5
44,56,2
328,9,4
128,79,4
189,91,3
207,98,4
291,77,4
177,79,4
289,7,4
144,31,3
94,33,3
318,64,4
189,30,4
198,24,2
305,15,1
65,56,3
262,77,2
144,91,2
26,15,4
276,11,5
287,92,4
109,89,4
305,87,1
85,58,4
1,92,3
90,31,4
158,1,4
43,26,5
307,71,5
217,82,5
314,9,4
249,79,5
20,11,2
222,25,3
160,3,3
256,29,4
313,65,2
271,22,5
244,31,4
295,67,4
201,37,2
262,91,3
311,70,4
16,92,4
